School_id,College_name,Program_name,Award_name,CIP 2010 TITLE SHORT
3,Bronx Community College,Energy Services and Technology,A.A.S.,Energy Management and Systems Technology/Technician.
3,Bronx Community College,Science for Forensics,A.S.,Forensic Science and Technology.
3,Bronx Community College,Criminal Justice,A.A.,Criminal Justice/Law Enforcement Administration.
3,Bronx Community College,Biotechnology,A.S.,Biotechnology.
3,Bronx Community College,Community Health,Cert. >= 30 Credits,Community Health Services/Liaison/Counseling.
3,Bronx Community College,English,A.A.,"English Language and Literature, General."
3,Bronx Community College,Exercise Science and Kinesiology,A.S.,Kinesiology and Exercise Science.
3,Bronx Community College,CyberSecurity And Networking,A.A.S.,Computer and Information Systems Security/Information Assurance.
3,Bronx Community College,CyberSecurity and Networking,Cert. >= 30 Credits,Computer and Information Systems Security/Information Assurance.
3,Bronx Community College,Community/School Health Education,A.S.,Public Health Education and Promotion.
3,Bronx Community College,Automotive Technician,Cert. >= 30 Credits,Automobile/Automotive Mechanics Technology/Technician.
3,Bronx Community College,Paralegal Studies,A.A.S.,Legal Assistant/Paralegal.
3,Bronx Community College,Media and Digital Film Production,A.A.S.,Radio and Television Broadcasting Technology/Technician.
3,Bronx Community College,Media and Digital Film Production,A.S.,Radio and Television Broadcasting Technology/Technician.
3,Bronx Community College,Nuclear Medicine Technology,A.A.S.,Medical Radiologic Technology/Science - Radiation Therapist.
3,Bronx Community College,Paralegal Studies,Cert. >= 30 Credits,Legal Assistant/Paralegal.
3,Bronx Community College,Horticulture,A.A.S.,Ornamental Horticulture.
3,Bronx Community College,Human Services,A.A.S.,"Human Services, General."
3,Bronx Community College,Digital Design,A.A.S.,Digital Arts.
3,Bronx Community College,Licensed Practical Nurse,Cert. >= 30 Credits,Licensed Practical/Vocational Nurse Training.
3,Bronx Community College,Computer Science,A.S.,Computer Science.
3,Bronx Community College,Radiologic Technology,A.A.S.,Medical Radiologic Technology/Science - Radiation Therapist.
4,Brooklyn College,School Counseling,M.S. in Ed.,Counselor Education/School Counseling and Guidance Services.
4,Brooklyn College,Economics,B.A.,"Economics, General."
4,Brooklyn College,School Counseling,Adv. Cert. Post Master's,Counselor Education/School Counseling and Guidance Services.
4,Brooklyn College,Business Administration,M.A.,"Business Administration and Management, General."
4,Brooklyn College,Business Administration,M.S.,"Business Administration and Management, General."
4,Brooklyn College,Puerto Rican and Latino Studies,B.A.,"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies."
4,Brooklyn College,Judaic Studies,B.A.,Jewish/Judaic Studies.
4,Brooklyn College,American Studies,B.A.,American/United States Studies/Civilization.
4,Brooklyn College,Biology Teacher (7-12),M.A.,Biology Teacher Education.
4,Brooklyn College,Biology,B.S.,"Biology/Biological Sciences, General."
4,Brooklyn College,Biology,B.A.,"Biology/Biological Sciences, General."
4,Brooklyn College,Biology,M.A.,"Biology/Biological Sciences, General."
4,Brooklyn College,Accounting,B.S.,Accounting.
4,Brooklyn College,Computer and Information Science,B.S.,"Computer and Information Sciences, General."
4,Brooklyn College,Elementary Education Teacher (1-6),B.A.,Elementary Education and Teaching.
4,Brooklyn College,Elementary Education Teacher (1-6),M.S. in Ed.,Elementary Education and Teaching.
4,Brooklyn College,Teacher of Special Education,M.S. in Ed.,"Special Education and Teaching, General."
4,Brooklyn College,School Psychologist,M.S. in Ed.,School Psychology.
4,Brooklyn College,School Administration and Supervision,Adv. Cert. Post Master's,"Educational Leadership and Administration, General."
4,Brooklyn College,Art Teacher (K-12),M.A.,Art Teacher Education.
4,Brooklyn College,Music Teacher (K-12),M.A.,Music Teacher Education.
4,Brooklyn College,Physical Education Teacher (K-12),B.S.,Physical Education Teaching and Coaching.
4,Brooklyn College,Physical Education,B.S.,"Health and Physical Education/Fitness, General."
4,Brooklyn College,Physical Education Teacher (K-12),M.S. in Ed.,Physical Education Teaching and Coaching.
4,Brooklyn College,Art,B.A.,"Fine/Studio Arts, General."
4,Brooklyn College,Art,M.F.A.,"Fine/Studio Arts, General."
4,Brooklyn College,Art History,M.A.,"Art History, Criticism and Conservation."
4,Brooklyn College,Performance,Mus.B,"Music Performance, General."
4,Brooklyn College,Music Composition and Theory,Mus.B,Music Theory and Composition.
4,Brooklyn College,Musicology,M.A.,Musicology and Ethnomusicology.
4,Brooklyn College,Music,B.A.,"Music, General."
4,Brooklyn College,Film,B.A.,Cinematography and Film/Video Production.
4,Brooklyn College,French,B.A.,French Language and Literature.
4,Brooklyn College,French,M.A.,French Language and Literature.
4,Brooklyn College,French Teacher (7-12),B.A.,French Language Teacher Education.
4,Brooklyn College,Italian,B.A.,Italian Language and Literature.
4,Brooklyn College,Spanish,B.A.,Spanish Language and Literature.
4,Brooklyn College,Spanish,M.A.,Spanish Language and Literature.
4,Brooklyn College,Russian,B.A.,Russian Language and Literature.
4,Brooklyn College,English,B.A.,"English Language and Literature, General."
4,Brooklyn College,English,M.A.,"English Language and Literature, General."
4,Brooklyn College,English Teacher (7-12),M.A.,English/Language Arts Teacher Education.
4,Brooklyn College,English Teacher (7-12),B.A.,English/Language Arts Teacher Education.
4,Brooklyn College,Comparative Literature,B.A.,Comparative Literature.
4,Brooklyn College,Classics,B.A.,"Classics and Classical Languages, Literatures, and Linguistics, General."
4,Brooklyn College,Linguistics,B.A.,Linguistics.
4,Brooklyn College,Creative Writing,M.F.A.,Creative Writing.
4,Brooklyn College,Philosophy,B.A.,Philosophy.
4,Brooklyn College,Mathematics Teacher (7-12),M.A.,Mathematics Teacher Education.
4,Brooklyn College,Mathematics Teacher (7-12),B.S.,Mathematics Teacher Education.
4,Brooklyn College,Mathematics Teacher (7-12),B.A.,Mathematics Teacher Education.
4,Brooklyn College,Mathematics,M.A.,"Mathematics, General."
4,Brooklyn College,Mathematics,B.A.,"Mathematics, General."
4,Brooklyn College,Mathematics,B.S.,"Mathematics, General."
4,Brooklyn College,Computational Mathematics,B.S.,"Mathematics, General."
4,Brooklyn College,Physics,M.A.,"Physics, General."
4,Brooklyn College,Physics,B.S.,"Physics, General."
4,Brooklyn College,Physics,B.A.,"Physics, General."
4,Brooklyn College,Chemistry,B.A.,"Chemistry, General."
4,Brooklyn College,Chemistry,M.A.,"Chemistry, General."
4,Brooklyn College,Chemistry,B.S.,"Chemistry, General."
4,Brooklyn College,Chemistry Teacher (7-12),B.A.,Chemistry Teacher Education.
4,Brooklyn College,Earth and Environmental Sciences,B.A.,"Geology/Earth Science, General."
4,Brooklyn College,Earth and Environmental Sciences,M.A.,"Geology/Earth Science, General."
4,Brooklyn College,Earth and Environmental Sciences,B.S.,"Geology/Earth Science, General."
4,Brooklyn College,Earth Science Teacher (7-12),B.A.,Earth Science Teacher Education.
4,Brooklyn College,Psychology,B.A.,"Psychology, General."
4,Brooklyn College,Psychology,B.S.,"Psychology, General."
4,Brooklyn College,Social Studies Teacher (7-12),M.A.,Social Studies Teacher Education.
4,Brooklyn College,Social Studies Teacher (7-12),B.A.,Social Studies Teacher Education.
4,Brooklyn College,Anthropology,B.A.,Anthropology.
4,Brooklyn College,Business Information Systems,B.S.,"Computer and Information Sciences,  Other."
4,Brooklyn College,Business Information Systems,M.P.S.,"Computer and Information Sciences,  Other."
4,Brooklyn College,History,B.A.,"History, General."
4,Brooklyn College,History,M.A.,"History, General."
4,Brooklyn College,Political Science,M.A.,"Political Science and Government, General."
4,Brooklyn College,Political Science,B.A.,"Political Science and Government, General."
4,Brooklyn College,Sociology,M.A.,Sociology.
4,Brooklyn College,Sociology,B.A.,Sociology.
4,Brooklyn College,Africana Studies,B.A.,African-American/Black Studies.
4,Brooklyn College,Women's Studies,B.A.,Women's Studies.
4,Brooklyn College,C.U.N.Y. Baccalaureate (B.A.),NG (Bacc.),Liberal Arts and Sciences/Liberal Studies.
4,Brooklyn College,Theatre,M.A.,"Drama and Dramatics/Theatre Arts, General."
4,Brooklyn College,Urban Sustainability,B.A.,Sustainability Studies.
4,Brooklyn College,Economics: Accounting - Track A (Place Holder),M.A.,Accounting.
4,Brooklyn College,Middle Childhood Education Specialist: Math,M.S. in Ed.,Mathematics Teacher Education.
4,Brooklyn College,Middle Childhood Education Specialist: Math (Alternative Transitional B Certification),M.S. in Ed.,Mathematics Teacher Education.
4,Brooklyn College,Early Childhood Education: Teaching Students with Disabilities,M.S. in Ed.,Education/Teaching of Individuals in Early Childhood Special Education Programs.
4,Brooklyn College,Childhood Education: Teaching Students with Disabilities,M.S. in Ed.,Education/Teaching of Individuals in Elementary Special Education Programs.
4,Brooklyn College,Childhood Education: Teaching Students with Disabilities (Alternative Transitional B Certification),M.S. in Ed.,Education/Teaching of Individuals in Elementary Special Education Programs.
4,Brooklyn College,"Mathematics Teacher, Grades 7-12 (Alternative Transitional B Certification)",M.A.,Mathematics Teacher Education.
4,Brooklyn College,"Mathematics Teacher, Grades 7-12",M.A.,Mathematics Teacher Education.
4,Brooklyn College,"Mathematics Teacher, Grades 7-12",B.A.,Mathematics Teacher Education.
4,Brooklyn College,"Early Childhood Education Teacher, Birth - Grade 2",M.S. in Ed.,Early Childhood Education and Teaching.
4,Brooklyn College,"Early Childhood Education Teacher, Birth - Grade 2",B.A.,Early Childhood Education and Teaching.
4,Brooklyn College,"Early Childhood Education Teacher, Birth - Grade 2 (Alternative Transitional B Certification)",M.S. in Ed.,Early Childhood Education and Teaching.
4,Brooklyn College,"Biology Teacher, Grades 7-12 (Alternative Transitional B Certification)",M.A.,Biology Teacher Education.
4,Brooklyn College,"Biology Teacher, Grades 7-12",M.A.,Biology Teacher Education.
4,Brooklyn College,Physical Education Teacher,M.S. in Ed.,Physical Education Teaching and Coaching.
4,Brooklyn College,Physical Education Teacher,B.S.,Physical Education Teaching and Coaching.
4,Brooklyn College,Physical Education Teacher (Alternative Transitional B Certification),M.S. in Ed.,Physical Education Teaching and Coaching.
4,Brooklyn College,"Art Teacher, All Grades (Alternative Transitional B Certification)",M.A.,Art Teacher Education.
4,Brooklyn College,"Art Teacher, All Grades",M.A.,Art Teacher Education.
4,Brooklyn College,Social Studies Teacher,M.A.,Social Studies Teacher Education.
4,Brooklyn College,Social Studies Teacher,B.A.,Social Studies Teacher Education.
4,Brooklyn College,Social Studies Teacher (Alternative Transitional B Certification),M.A.,Social Studies Teacher Education.
4,Brooklyn College,"Chemistry Teacher, Grades 7-12",M.A.,Chemistry Teacher Education.
4,Brooklyn College,"French Teacher, Grades 7-12",B.A.,French Language Teacher Education.
4,Brooklyn College,"French Teacher, Grades 7-12",M.A.,French Language Teacher Education.
4,Brooklyn College,"Spanish Teacher, Grades 7-12",M.A.,Spanish Language Teacher Education.
4,Brooklyn College,"Spanish Teacher, Grades 7-12",B.A.,Spanish Language Teacher Education.
4,Brooklyn College,"Italian Teacher, Grades 7-12",B.A.,Foreign Language Teacher Education.
4,Brooklyn College,"Physics Teacher, Grades 7-12",B.A.,Physics Teacher Education.
4,Brooklyn College,"English Teacher, Grades 7-12 (Alternative Transitional B Certification)",M.A.,English/Language Arts Teacher Education.
4,Brooklyn College,"English Teacher, Grades 7-12",M.A.,English/Language Arts Teacher Education.
4,Brooklyn College,"English Teacher, Grades 7-12",B.A.,English/Language Arts Teacher Education.
4,Brooklyn College,"Chemistry Teacher, Grades 7-12",B.A.,Chemistry Teacher Education.
4,Brooklyn College,"Biology Teacher, Grades 7-12",B.A.,Biology Teacher Education.
4,Brooklyn College,"Music Teacher, All Grades",Mus.B,Music Teacher Education.
4,Brooklyn College,"Music Teacher, All Grades",M.A.,Music Teacher Education.
4,Brooklyn College,"Music Teacher, All Grades",Adv. Cert. Post Master's,Music Teacher Education.
4,Brooklyn College,Middle Childhood Education 5-9 (Alternative Transitional B Certification),M.A.,Junior High/Intermediate/Middle School Education and Teaching.
4,Brooklyn College,Middle Childhood Education,M.A.,Junior High/Intermediate/Middle School Education and Teaching.
4,Brooklyn College,"Childhood Education Teacher, Grades 1-6 with Bilingual Extension",M.S. in Ed.,Elementary Education and Teaching.
4,Brooklyn College,"Childhood Education Teacher, Grades 1-6 (Alternative Transitional B Certification)",M.S. in Ed.,Elementary Education and Teaching.
4,Brooklyn College,"Childhood Education Teacher, Grades 1-6",M.S. in Ed.,Elementary Education and Teaching.
4,Brooklyn College,"Childhood Education Teacher, Grades 1-6 with Bilingual Extension",B.A.,Elementary Education and Teaching.
4,Brooklyn College,"Childhood Education Teacher, Grades 1-6",B.A.,Elementary Education and Teaching.
4,Brooklyn College,Health and Nutrition Sciences: Health Teacher (All Grades),M.S. in Ed.,Health Teacher Education.
4,Brooklyn College,Performance and Interactive Media Arts,Adv. Cert. Post Bacc.,"Visual and Performing Arts, General."
4,Brooklyn College,Early Childhood Education / Early Childhood Special Education,B.A.,Early Childhood Education and Teaching.
4,Brooklyn College,Grief Counselling,Adv. Cert. Post Bacc.,Mental Health Counseling/Counselor.
4,Brooklyn College,Business Administration,B.B.A.,"Business Administration and Management, General."
4,Brooklyn College,Mental Health Counseling,M.A.,Mental Health Counseling/Counselor.
4,Brooklyn College,Performance and Interactive Media Arts,M.F.A.,"Visual and Performing Arts, General."
4,Brooklyn College,"Teacher of Students With Disabilities, Secondary Education, Grades 7-12, Generalist",M.S. in Ed.,Education/Teaching of Individuals in Secondary Special Education Programs.
4,Brooklyn College,"Teacher of Students With Disabilities, Secondary Education, Grades 7-12 (Alternative Transitional B Certification)",M.S. in Ed.,Education/Teaching of Individuals in Secondary Special Education Programs.
4,Brooklyn College,Communication,B.A.,Speech Communication and Rhetoric.
4,Brooklyn College,Multimedia Computing,B.S.,"Web Page, Digital/Multimedia and Information Resources Design."
4,Brooklyn College,Autism Spectrum Disorder,Adv. Cert. Post Bacc.,Education/Teaching of Individuals with Autism.
4,Brooklyn College,Bilingual Education,Adv. Cert. Post Bacc.,Bilingual and Multilingual Education.
4,Brooklyn College,School District Leader,M.S. in Ed.,Superintendency and Educational System Administration.
4,Brooklyn College,Information Systems,B.S.,Information Science/Studies.
4,Brooklyn College,Exercise Science,B.S.,Kinesiology and Exercise Science.
4,Brooklyn College,"Adolescence Science Education, Grades 7-12",M.A.T.,Science Teacher Education/General Science Teacher Education.
4,Brooklyn College,"Earth Science Teacher, Grades 7-12",B.A.,Earth Science Teacher Education.
4,Brooklyn College,Parallel and Distributed Computing,Adv. Cert. Post Bacc.,"Computer Programming, Specific Applications."
4,Brooklyn College,Children and Youth Studies,B.A.,"Ethnic, Cultural Minority, Gender, and Group Studies, Other."
4,Brooklyn College,Educational Leadership - School Building and School District Leader,M.S. in Ed.,"Educational Leadership and Administration, General."
4,Brooklyn College,"Earth Science Teacher, Grades 7-12 (Alternative Transitional B Certification)",M.A.T.,Earth Science Teacher Education.
4,Brooklyn College,"Earth Science Teacher, Grades 7-12 (In-Service)",M.A.T.,Earth Science Teacher Education.
