FacultyId,DeptId,Year
113,583,2020
113,692,2020
114,716,2017
115,328,2019
115,799,2009
115,823,2015
115,84,2014
115,777,2018
116,698,2018
116,821,2012
116,286,2004
117,773,2000
118,761,2010
119,828,2018
120,285,2020
121,640,2002
122,610,2015
122,330,2019
122,123,2019
122,594,2020
122,503,2016
122,235,2014
123,362,2020
123,394,2020
123,110,2020
123,501,2020
123,469,2020
124,196,1996
125,175,2016
125,708,2012
125,483,2006
125,834,2016
125,615,2018
126,713,2012
126,276,2018
126,811,2019
126,758,2016
126,780,2011
126,801,2016
127,780,2020
127,45,2019
127,813,2019
127,708,2018
128,343,2016
128,456,2012
129,585,2020
129,452,2020
129,202,2020
129,794,2020
129,638,2020
129,411,2020
130,126,2020
130,473,2017
130,557,2020
130,387,2018
130,477,2017
130,20,2017
131,193,2009
131,230,2012
131,50,2020
131,742,2015
131,810,2015
132,274,2018
132,166,2014
132,74,2008
133,676,2010
133,635,2009
133,822,2003
133,525,2006
133,65,2013
133,651,1999
134,453,2012
134,756,2012
134,829,2018
134,403,2013
134,692,2015
134,358,2019
135,688,2017
136,631,2019
136,656,2020
136,339,2019
136,383,2018
137,175,2008
137,446,2019
137,9,2002
137,291,2004
137,221,2016
137,689,1999
138,234,2019
138,336,2018
138,751,2013
139,256,1998
139,489,2009
139,353,1999
139,417,2018
140,705,2019
140,20,2018
141,140,2012
141,240,2015
141,68,2015
141,123,2013
141,106,2016
141,221,2012
142,469,2006
142,41,2013
142,417,2004
142,510,2002
142,140,2020
143,156,2005
144,351,2006
145,158,2020
145,566,2011
146,559,2007
146,711,1994
146,597,2019
146,310,2019
146,287,2011
147,760,1990
147,163,2015
147,70,1992
148,614,2012
149,433,2019
149,732,2016
149,192,2008
149,161,2012
149,716,2010
149,179,2013
150,710,2009
150,698,2019
150,127,2020
150,477,2011
150,147,2016
151,763,2019
151,632,2020
151,322,2018
151,591,2020
151,767,2018
151,562,2018
152,108,2008
152,164,2008
152,694,2008
153,807,2012
153,414,2020
153,88,2015
153,465,2018
153,815,2015
154,10,2016
154,819,2006
155,501,2018
155,246,2014
155,350,2016
155,703,2014
155,438,2018
156,241,2008
157,326,2015
157,402,1995
157,760,2013
157,321,2000
158,406,2014
159,108,2000
159,544,2013
160,767,2009
161,603,2018
161,443,2019
161,274,2020
161,579,2019
161,393,2020
162,711,2019
162,395,2019
162,218,2017
162,406,2017
163,223,2016
163,102,2020
163,499,2020
163,685,2020
164,270,2020
164,741,2009
164,66,2019
164,230,2020
165,92,2020
165,103,2017
165,164,2017
165,162,2020
166,730,2018
167,625,2020
167,321,2020
167,641,2020
167,805,2020
167,25,2020
167,671,2020
168,494,2002
168,436,2012
168,255,2019
168,472,2013
169,310,2012
170,202,2020
170,765,2019
170,394,2020
170,185,2018
170,27,2018
171,478,2020
171,379,2020
171,459,2020
171,212,2020
171,530,2020
172,231,2014
172,248,2014
172,252,2017
172,125,2013
173,301,2020
174,144,2007
174,169,2017
174,112,2009
174,132,2012
175,825,2020
175,347,2019
176,767,2008
177,390,2018
177,518,2018
177,27,2015
177,299,2019
177,647,2013
178,272,2019
178,794,2020
178,444,2020
178,704,2018
178,596,2020
179,37,2016
180,451,1997
180,826,2002
181,721,2020
181,68,2019
181,508,2019
181,758,2020
181,476,2019
181,711,2019
182,77,2012
183,402,2015
183,650,1997
183,128,2014
183,730,2010
183,189,2004
184,205,2019
184,796,2020
184,797,2015
185,603,2001
185,77,2018
185,674,2005
185,438,2018
185,449,1998
185,816,1996
186,811,2001
186,25,2006
187,185,2020
187,137,2010
188,567,2018
188,69,2018
188,623,2011
188,809,2004
188,167,2018
188,599,2001
189,685,2005
189,527,2018
189,372,2005
190,206,2001
190,202,2020
191,205,2007
191,107,2006
191,361,2014
191,386,2011
192,545,2015
192,143,2016
192,166,2014
193,109,2020
193,321,2014
194,191,2017
194,722,2018
194,234,2018
195,209,2003
195,26,1999
195,474,2001
195,279,2016
196,703,2020
196,800,2019
196,406,2020
197,416,2002
198,81,2017
198,32,2012
198,781,2013
198,703,2016
198,379,2018
198,142,2014
199,80,1997
200,167,2012
200,160,2014
200,754,2016
201,248,2018
201,228,2016
201,489,2019
202,384,2012
202,106,2015
202,20,1998
202,627,2004
202,101,2006
203,64,2003
203,582,2005
203,15,2005
203,468,2003
203,500,2000
203,441,2011
204,187,2017
204,687,2020
205,201,2005
205,245,2017
205,634,2011
205,838,2012
205,422,2018
205,695,2007
206,605,2015
206,113,2020
206,187,2014
206,674,2014
206,659,2019
207,283,2011
207,626,2013
208,601,2016
208,731,1992
208,418,1994
208,512,2002
209,653,2019
209,86,2019
210,554,2003
210,485,2017
210,101,2018
210,46,2016
210,708,2010
210,57,2006
211,562,2020
211,264,2003
211,561,2005
211,443,2017
211,488,2011
212,210,2011
212,435,2011
213,626,2009
213,827,1997
213,110,2013
214,689,2006
214,153,2003
214,612,2014
214,531,2005
214,198,2004
214,489,1996
215,282,2008
215,600,2005
215,69,2019
215,405,2002
216,750,2003
216,546,2017
216,799,2017
216,692,2015
216,589,2017
217,813,2006
217,506,2003
217,169,2007
217,308,2014
218,141,2016
218,822,2014
218,253,2000
219,662,2000
219,575,2016
219,18,2019
220,376,2009
220,239,2000
220,725,2018
220,540,1997
220,687,1999
220,335,2016
221,111,2006
222,326,2020
222,513,2019
222,325,2019
222,58,2019
222,457,2019
223,39,1992
223,559,2017
223,492,2000
223,38,2006
224,160,2015
224,541,2019
224,547,2019
224,99,2020
224,668,2011
225,218,2020
225,269,2015
226,653,2015
226,680,2014
226,757,2014
227,9,2017
227,193,2016
227,322,2000
227,170,2018
227,669,2006
228,646,2003
228,585,2013
229,323,2019
229,684,2016
229,228,2015
229,596,2016
229,654,2019
230,656,2002
230,143,2017
231,29,2020
231,522,2018
231,242,2019
231,124,2012
232,14,2007
232,774,2015
232,284,2011
232,654,2004
232,354,2008
232,657,2017
233,316,2011
233,64,2015
233,794,2017
233,302,2017
234,829,2001
235,694,2009
236,643,2019
236,288,2020
236,426,2019
236,126,2019
236,528,2020
236,181,2019
237,352,2010
237,251,2012
237,256,2019
237,552,2020
237,459,2014
238,184,1990
238,253,2006
238,423,2013
238,708,2000
238,243,1997
239,83,2000
239,282,2014
239,689,1999
239,591,2002
240,474,2020
240,740,2020
240,449,2020
240,222,2020
241,140,2018
241,592,1997
241,796,2019
242,630,2012
243,88,2015
243,309,2012
243,613,2019
243,82,2011
243,31,2017
244,200,2018
244,323,2012
244,565,2014
244,326,1996
244,8,2005
244,533,1997
245,793,2003
245,34,2006
246,48,1997
246,340,2019
246,516,2000
246,789,2009
247,308,2014
247,352,2015
248,464,1998
248,619,1999
248,560,2004
249,30,2017
249,77,2018
249,451,2016
249,246,2016
249,348,2016
249,31,2020
250,350,2012
251,194,2015
251,484,2004
252,513,2007
252,93,2015
252,101,2018
252,159,1996
253,685,2011
253,325,2018
254,761,2005
254,553,2008
254,776,2003
255,278,2019
256,381,2018
256,744,2020
256,444,2000
257,636,1996
257,355,2005
257,451,2005
257,483,2002
257,473,1996
258,332,2005
258,756,2010
258,696,2017
258,592,2010
258,631,2006
258,479,2010
259,330,2020
259,49,2015
259,254,2015
259,256,2016
260,325,2010
260,50,2013
261,192,2016
262,486,2004
262,369,2014
263,526,2016
263,242,2016
263,248,2019
263,819,2019
263,488,2014
263,539,2018
264,176,1992
264,520,1999
264,458,2014
264,45,2014
264,754,2015
265,554,2017
266,226,2013
266,697,2007
267,660,1996
268,600,2018
268,824,2006
268,64,2018
268,504,2008
268,449,2013
268,818,2005
269,329,2020
269,796,2019
269,272,2019
270,742,2019
270,727,2018
270,316,2017
271,440,2018
271,612,2012
272,582,2016
273,462,2020
273,778,2020
274,673,2000
274,170,2002
275,141,2014
275,171,2003
275,669,2004
275,548,2018
276,423,2016
277,223,1999
277,620,2011
278,587,2000
278,241,2004
279,770,2009
279,677,2016
279,787,1997
279,348,2012
279,486,2002
280,624,1997
280,26,1999
280,328,1997
280,284,2013
281,219,2013
281,188,2013
282,169,2009
282,686,2012
282,538,2010
283,794,2014
283,14,2015
283,54,2020
283,345,2011
283,773,2019
283,401,2018
284,640,2007
284,794,2003
284,762,2018
284,534,2006
285,821,2017
285,106,2020
285,394,2017
285,20,2019
285,599,2014
285,739,2020
286,463,2019
287,273,2014
287,69,2006
287,207,2019
287,501,2009
288,746,2016
288,97,2016
288,257,2020
289,149,2017
290,813,2012
290,77,2018
290,273,2012
290,803,2020
291,466,2020
291,507,2020
291,807,2020
291,467,2020
291,401,2020
291,614,2020
292,194,2019
292,437,2014
292,205,2017
292,260,2009
293,193,2014
293,198,2018
294,609,2002
294,804,2015
294,71,2013
295,81,2017
295,759,2017
295,815,2020
295,320,2016
295,711,2019
295,764,2013
296,614,2011
297,521,2020
297,500,2013
297,203,2012
297,280,2005
297,731,2020
298,663,2012
298,633,1998
298,618,2001
299,695,2020
299,317,2020
299,735,2020
300,555,1998
300,10,2009
300,381,2009
300,593,2001
300,59,2003
301,234,2011
301,200,2019
301,352,2010
301,482,2004
301,63,2015
302,232,2001
302,289,2006
303,379,2016
304,102,2012
305,370,2003
306,566,2010
306,824,2009
306,26,2005
306,411,2017
306,255,2017
306,138,1997
307,702,2011
308,827,2004
308,716,2007
308,503,2004
308,590,2007
308,67,2002
308,105,2013
309,614,2015
309,766,2018
309,132,2015
309,446,2007
309,518,2020
309,57,2001
310,519,2005
310,310,2013
310,20,2010
310,592,2014
311,368,2011
312,41,2017
312,297,2018
312,754,2010
312,534,2012
312,237,2006
312,694,2007
313,631,2017
313,750,2007
314,54,2002
315,801,2012
315,37,2011
315,569,2019
316,208,2005
316,799,2016
316,51,2011
316,240,2004
316,124,2012
316,349,2015
317,504,2017
317,325,2016
317,572,2017
317,552,2008
317,395,2014
317,649,2018
318,405,2020
318,173,1994
319,633,2019
319,706,2019
319,749,2018
319,273,2020
319,833,2012
320,436,2006
320,374,2005
321,368,2018
321,470,2001
321,2,2020
321,702,2006
321,549,1998
321,552,2002
322,465,2016
322,260,2020
322,122,2019
322,61,2016
322,560,2019
323,323,2011
324,760,2003
324,32,2008
325,257,2010
326,744,2016
326,75,2011
327,782,2014
327,436,2012
327,710,2020
328,378,2020
328,102,2020
328,221,2017
329,674,2019
330,645,2020
330,423,2015
330,375,2018
330,303,2016
330,610,2017
331,683,2016
331,591,2012
331,287,2018
331,326,2013
331,580,2020
331,494,2018
332,770,2006
332,238,1999
332,125,2019
332,158,2004
332,57,2000
333,419,2020
333,752,2005
334,188,2016
334,663,2019
334,608,2018
334,366,2016
335,223,2016
335,124,2018
335,233,2014
335,288,2012
336,283,2017
337,533,2014
337,592,2008
337,397,2011
338,351,2018
338,727,2013
339,321,2020
340,112,2018
340,690,2020
340,624,2015
341,603,2015
341,293,2011
341,339,2012
341,685,2009
341,389,2015
342,262,2020
342,247,2018
342,187,2017
342,694,2017
342,670,2016
343,137,2004
343,414,2019
343,295,2002
343,355,2012
343,134,2015
344,583,2006
344,9,2005
345,583,2017
345,710,2006
345,293,2004
345,206,2020
345,99,2015
346,143,2010
346,293,2018
346,25,2018
346,83,2017
346,729,2013
347,322,2014
347,821,2001
347,456,2014
347,287,1997
347,608,2002
347,50,2012
348,582,2019
348,561,2010
348,531,2015
348,787,2011
348,837,2014
349,10,2014
349,605,2014
349,344,2016
349,639,2009
349,479,2003
350,745,2009
350,483,2012
350,707,2004
350,827,2020
350,520,2018
351,635,2006
352,290,2020
353,753,2014
353,311,1993
353,488,2012
354,37,2019
354,129,2016
355,790,2015
355,375,2004
355,19,2019
355,148,2010
355,803,2020
356,194,2016
357,561,2000
357,369,2018
358,230,2010
358,381,2006
359,707,2000
360,746,2008
360,612,2015
360,225,2012
361,604,2015
361,734,2020
362,517,2016
362,454,2011
362,292,2017
362,15,2007
362,637,2019
362,630,2006
363,225,2004
363,163,2012
363,617,2016
364,716,2020
364,344,2019
364,484,2016
364,301,2016
364,304,2015
364,226,2015
365,750,2019
365,821,2017
365,612,2012
365,304,2012
366,250,2018
366,661,2013
366,604,2018
367,275,2017
367,95,2005
367,216,2018
367,473,2009
367,451,2012
368,833,2017
368,9,2016
368,391,2013
368,394,2012
369,637,2011
369,358,2015
369,732,2010
369,254,2019
369,381,2012
370,538,2018
370,136,2011
370,118,2002
370,681,2014
370,479,2010
371,126,2005
371,742,2015
371,178,2004
371,615,2007
372,237,2010
372,357,2012
373,148,2005
373,115,2009
373,362,2016
373,662,2008
374,8,2019
374,485,2010
374,58,2008
374,660,2015
374,401,2020
374,59,2016
375,361,2016
375,783,2018
375,226,2019
376,646,2014
377,333,2013
377,706,2015
378,301,1997
378,136,2006
379,635,2011
379,490,2017
379,294,2010
379,152,2020
379,659,2020
379,812,2015
380,557,1999
381,383,2016
381,56,2016
381,708,2015
381,706,2000
382,137,2013
382,720,2013
382,532,2017
383,683,2015
383,313,2007
383,47,2016
383,36,2016
383,173,2002
383,574,2011
384,642,2011
384,215,2015
385,377,2019
385,732,2017
385,140,2020
385,128,2017
385,578,2018
386,481,2013
386,349,2018
386,838,2006
386,122,2012
386,225,2016
386,742,2008
387,567,2018
387,223,2013
387,540,2009
388,530,2012
388,303,2012
388,134,2017
388,533,2006
388,290,2011
389,457,2007
389,421,2008
389,473,2005
389,377,2006
389,17,2007
390,101,2013
390,338,2012
390,186,2018
390,276,2019
390,662,2012
391,437,2013
392,322,2011
392,529,2020
393,231,2001
393,353,2018
394,421,2015
394,215,2018
394,113,2011
394,561,2013
394,279,2004
395,136,2013
395,585,2004
395,37,2005
395,812,2012
395,513,2016
395,426,2009
396,166,2009
396,3,2007
396,503,2014
396,368,2007
397,383,2019
397,119,2017
397,603,2017
397,469,2018
397,225,2017
398,250,2013
398,111,2008
398,390,2003
399,646,2006
399,686,2019
400,830,2018
400,339,2018
400,241,2018
401,287,2018
401,403,2019
402,633,2011
402,468,2017
402,459,2010
402,403,2010
402,697,2012
403,92,2016
403,486,2020
404,621,2017
404,314,2019
404,36,2020
405,718,2020
405,183,2018
405,779,2018
405,273,2020
405,53,2020
405,622,2018
406,415,2005
406,145,2017
407,555,2019
407,414,2020
407,577,2020
408,144,2007
408,780,2009
409,780,2014
409,45,2008
409,534,2003
410,216,2014
410,357,2016
410,376,2016
410,514,2016
410,413,2018
410,270,2017
411,711,2015
411,498,2011
412,233,2019
412,822,2019
412,156,2018
412,321,2018
413,514,2004
413,571,2010
414,616,2015
414,623,2017
414,462,2013
414,159,2019
414,136,2009
415,323,2006
415,577,2020
415,70,2014
416,74,2020
416,693,2020
416,493,2020
416,806,2020
416,370,2020
417,379,2016
417,326,2018
417,267,2017
417,397,2017
418,433,2018
418,82,2020
418,621,2018
418,541,2019
418,787,2018
419,506,2008
419,330,2007
419,140,2016
419,830,2008
419,38,2020
419,233,2009
420,540,2010
420,730,2009
420,712,2011
420,336,2012
421,676,2020
421,99,2012
421,601,2014
421,673,2016
421,90,2018
422,753,2012
422,509,2004
422,577,2010
422,131,2020
422,287,2009
422,126,2007
423,331,1998
423,761,2019
423,303,2017
423,586,2013
424,483,2018
424,104,2014
424,234,2017
424,325,2016
424,799,2015
425,81,2014
425,225,2015
425,27,2003
425,732,2016
425,206,2004
425,288,2007
426,257,2009
427,684,2017
427,635,2018
427,776,2019
427,166,2019
427,264,2017
427,687,2018
428,135,2010
428,108,1998
428,368,2003
428,15,2012
429,165,2020
429,771,2020
429,836,2020
429,599,2020
429,359,2020
429,67,2020
430,1,2014
431,792,2000
431,499,2018
431,449,2012
431,638,2018
432,609,2011
433,557,2015
433,589,2005
433,306,2000
433,688,2000
433,585,2008
434,70,2002
434,567,2001
434,311,2016
434,714,2008
434,413,2003
435,194,2018
435,683,1993
435,37,2013
435,676,2002
436,738,2019
437,65,2009
438,644,2015
438,363,2011
438,523,2008
439,210,2017
439,133,2011
439,473,2010
439,545,2016
439,543,2011
439,517,2012
440,386,2017
440,41,2018
441,21,2004
441,293,2011
441,670,2008
441,361,2003
441,303,2016
441,555,2006
442,279,2016
442,391,2015
443,46,2017
444,448,2009
444,456,2016
444,199,2012
444,184,2016
445,498,2017
445,64,2020
446,43,2020
446,355,2011
446,326,2020
446,358,2017
446,428,2020
446,788,2018
447,776,2007
447,245,2015
447,24,2020
447,143,2003
448,745,2020
448,391,2020
448,142,2020
448,424,2020
448,438,2020
449,560,2018
449,792,2017
449,543,2020
449,706,2017
450,778,2017
450,169,2020
450,284,2019
450,832,2019
451,257,2018
451,167,2018
451,563,2017
451,762,2018
451,602,2020
451,123,2017
452,346,2014
452,102,2016
452,264,2015
453,816,2018
454,244,2020
454,321,2020
455,326,2019
455,723,2018
455,215,2014
456,488,2020
456,802,2020
456,452,2020
456,89,2020
456,663,2019
457,137,2014
457,517,2019
457,515,2016
457,767,2014
457,70,2013
457,514,2019
458,757,2020
458,768,2019
458,326,2019
459,388,2020
459,391,2002
459,40,2006
459,44,2015
459,314,2009
459,154,2009
460,224,2012
460,805,2017
460,446,2011
460,592,2015
460,524,2019
461,823,2007
461,454,2012
461,293,2017
461,246,2007
461,234,2020
462,834,1994
463,630,2017
463,757,2016
464,50,2019
464,201,2011
465,85,2017
466,529,2009
467,638,2019
467,357,2013
467,202,2006
467,771,2017
467,283,2011
467,667,2014
468,719,2020
468,103,2019
468,298,2020
468,84,2018
469,590,2018
470,216,2019
470,191,2016
470,797,2018
470,289,2014
471,152,2020
471,352,2019
471,672,2019
471,414,2019
471,289,2020
471,537,2019
472,450,2007
472,755,2020
473,721,2006
473,255,2017
473,664,2010
473,462,2005
473,234,2009
474,2,2017
474,663,2006
474,344,2016
474,765,2005
475,253,2008
475,320,2011
476,538,2018
476,503,2017
476,532,2017
476,469,2018
476,256,2020
477,158,2020
477,222,1996
477,821,2016
477,533,2009
477,118,1993
477,577,2020
478,40,2019
478,638,2017
479,44,2009
479,299,2009
479,217,2012
480,306,1996
481,532,2018
481,195,2016
482,112,2012
482,501,1999
483,715,2013
483,358,2006
483,118,2014
483,322,2020
483,175,2016
484,445,2013
484,396,1995
484,301,1994
484,247,2010
484,461,2002
485,119,2003
486,361,2019
487,258,2018
487,318,2014
487,466,1999
487,228,1998
487,41,2001
488,130,2001
488,343,2015
489,36,2016
489,363,2006
489,606,2009
490,198,2001
490,144,2002
491,677,2020
491,43,2020
491,460,2020
491,351,2020
491,806,2020
492,622,2000
492,287,2007
492,643,2008
492,311,2010
493,735,2019
493,383,2015
493,451,2014
493,698,2016
493,92,2014
493,64,2020
494,258,2020
494,826,2020
494,148,2015
494,482,2016
494,54,2014
494,161,2016
495,37,2014
495,665,2019
496,634,2003
496,589,2018
496,47,2007
496,610,2001
497,304,2020
498,125,2003
498,200,2004
498,193,2002
498,530,2002
499,428,2019
499,34,2017
499,831,2014
499,26,2007
499,209,2007
499,219,2002
500,16,2015
500,676,2018
501,291,2008
501,581,2016
501,286,2016
502,547,2019
502,394,2016
502,308,2015
502,688,2020
503,715,2020
503,241,2019
503,209,2016
504,279,2011
504,225,2015
504,44,2009
504,175,2007
504,213,2019
504,148,2013
505,164,2014
505,371,2017
505,385,2010
505,729,2017
506,167,2020
506,559,2004
506,661,2010
507,816,2008
507,470,2004
507,253,2019
507,746,1998
507,554,2006
507,819,2020
508,418,1995
508,361,2020
508,324,2020
508,514,2018
508,626,1995
508,569,2002
509,437,2020
509,192,2011
509,606,2010
509,332,2010
509,690,2013
510,222,2017
510,379,2016
510,241,2016
510,762,2019
510,88,2019
510,445,2018
511,736,2010
511,812,2014
511,99,2014
511,367,2003
511,71,1997
512,393,2019
512,415,2017
512,15,2020
513,11,2018
513,31,2010
514,580,2020
515,230,2018
516,518,2020
516,71,2018
516,603,2020
516,89,2018
516,575,2017
517,295,2017
517,58,2017
518,151,1999
518,716,2017
519,192,2019
519,244,2019
519,128,2019
520,353,2008
520,628,2007
521,803,2010
521,579,2013
521,152,2013
521,84,2012
521,464,2011
522,281,2017
522,99,2018
522,734,2015
522,394,2018
522,537,2017
523,532,2015
523,434,2018
523,636,2017
523,603,2006
523,687,2016
524,206,2018
524,583,2014
525,135,2019
525,693,2009
525,254,2019
526,110,2020
527,67,2018
528,151,2010
528,80,2017
529,750,2019
529,264,2019
529,280,2017
530,806,2019
530,128,2005
530,139,2015
531,342,2017
531,49,2016
532,532,2009
533,163,2009
533,629,2009
534,343,1998
535,131,2006
535,448,2020
536,346,2018
536,690,2001
536,310,2000
536,456,1998
537,778,2017
537,211,2011
538,386,2019
538,135,1997
538,514,2013
538,152,2020
539,472,2014
539,557,2015
539,677,2018
539,595,2012
539,414,2013
540,534,2014
540,784,2018
540,428,2009
540,405,2009
540,11,2005
541,437,2020
541,587,2002
541,576,2012
541,676,2020
541,371,2005
541,196,2010
542,824,2016
542,747,2014
543,762,2002
544,124,2007
544,500,2019
544,31,2006
544,391,2009
544,255,2000
544,537,2020
545,590,2011
545,428,2013
545,457,2000
545,281,2015
545,543,2003
545,557,2012
546,359,2020
546,483,2015
546,478,2020
546,219,2020
546,379,2017
547,87,2011
547,664,2006
547,785,2016
547,303,2004
547,229,2009
547,357,2006
548,8,2010
548,748,2013
548,818,2012
548,171,2017
548,198,2017
549,65,2012
549,368,2019
549,830,2015
549,689,2008
549,121,2018
550,399,2017
551,343,2020
552,28,2014
552,37,2019
552,258,2014
553,148,2017
554,342,2019
554,371,2020
554,108,2020
555,248,2019
555,347,2020
555,3,2019
555,52,2020
556,718,2016
557,492,2020
557,540,2020
558,385,2016
558,185,2019
559,172,2012
559,722,2015
560,684,2020
561,805,2014
561,531,2018
562,591,2000
562,664,1992
562,548,2008
563,566,2011
563,403,2017
563,23,2020
563,31,2010
563,275,1999
563,17,2010
564,525,2017
564,516,2020
564,338,2018
564,130,2019
565,215,1995
565,292,2010
565,439,1995
565,738,2014
566,386,1995
566,623,1995
566,469,1996
566,94,1999
566,614,2004
566,769,2002
567,626,2020
567,114,2020
567,108,2020
567,555,2020
567,635,2020
568,377,2014
568,804,2017
568,348,2013
569,836,2015
569,500,1995
569,620,2006
569,634,1997
570,545,2019
570,711,2013
570,366,2020
571,103,2016
571,111,2013
571,423,2011
572,340,2011
572,435,2007
572,685,2012
572,357,2008
572,213,2018
573,367,2020
573,236,2017
574,46,2008
574,310,2009
574,197,2017
574,219,2018
574,202,2003
574,313,2010
575,834,2018
