SchoolId,ProgramName,AwardName,CIP201TITLESHORT
2,Computer Information Systems,A.A.S.,"Computer and Information Sciences, General."
2,Computer Network Technology,A.A.S.,"Computer and Information Sciences, General."
2,Small Business/Entrepreneurship,A.A.S.,Small Business Administration/Management.
2,Computer Science,A.S.,Computer Science.
3,Education Associate,A.A.S.,Teacher Assistant/Aide.
3,Business Administration,A.S.,"Business Administration and Management, General."
3,Engineering Science,A.S.,"Engineering, General."
3,Liberal Arts and Sciences,A.S.,Physical Sciences.
3,Liberal Arts and Sciences,A.A.,Liberal Arts and Sciences/Liberal Studies.
3,Accounting,A.A.S.,Accounting Technology/Technician and Bookkeeping.
3,Marketing Management,A.A.S.,"Marketing/Marketing Management, General."
3,Office Administration and Technology,A.A.S.,"Administrative Assistant and Secretarial Science, General."
3,Computer Information Systems,A.A.S.,Data Processing and Data Processing Technology/Technician.
3,Medical Laboratory Technician,A.A.S.,Clinical/Medical Laboratory Technician.
3,Nursing,A.A.S.,Registered Nursing/Registered Nurse.
3,Medical Office Assistant,A.A.S.,Medical/Clinical Assistant.
3,Electronic Engineering Technology,A.A.S.,"Electrical, Electronic and Communications Engineering Technology/Technician."
3,Automotive Technology,A.A.S.,Automobile/Automotive Mechanics Technology/Technician.
3,Mathematics,A.S.,"Mathematics, General."
3,Telecommunications Technology: Verizon,A.A.S.,Telecommunications Technology/Technician.
3,Public Health,A.S.,"Public Health, General."
3,Telecommunications Technology,A.A.S.,Telecommunications Technology/Technician.
3,Environmental Technology,A.A.S.,Environmental Engineering Technology/Environmental Technology.
3,Therapeutic Recreation,A.S.,Therapeutic Recreation/Recreational Therapy.
3,Animal Care and Management,Cert. >= 30 Credits,Veterinary/Animal Health Technology/Technician and Veterinary Assistant.
3,Bilingual Early Childhood Assistant,Cert. >= 30 Credits,Teacher Assistant/Aide.
3,Early Childhood Assistant,Cert. >= 30 Credits,Teacher Assistant/Aide.
3,Assistant of Children with Special Needs,Cert. >= 30 Credits,Teacher Assistant/Aide.
3,Medical Assisting,Cert. >= 30 Credits,Health/Health Care Administration/Management.
3,Pharmaceutical Manufacturing Technology,A.A.S.,Pharmacy Technician/Assistant.
3,Human Services (Place Holder Program),A.A.,"Human Services, General."
3,Dietetics and Nutrition Science,A.S.,Dietetics/Dietitian.
3,Energy Services and Technology,A.A.S.,Energy Management and Systems Technology/Technician.
3,Science for Forensics,A.S.,Forensic Science and Technology.
3,Criminal Justice,A.A.,Criminal Justice/Law Enforcement Administration.
3,Biotechnology,A.S.,Biotechnology.
3,Community Health,Cert. >= 30 Credits,Community Health Services/Liaison/Counseling.
3,English,A.A.,"English Language and Literature, General."
3,Exercise Science and Kinesiology,A.S.,Kinesiology and Exercise Science.
3,CyberSecurity And Networking,A.A.S.,Computer and Information Systems Security/Information Assurance.
3,CyberSecurity and Networking,Cert. >= 30 Credits,Computer and Information Systems Security/Information Assurance.
3,Community/School Health Education,A.S.,Public Health Education and Promotion.
3,Automotive Technician,Cert. >= 30 Credits,Automobile/Automotive Mechanics Technology/Technician.
3,Paralegal Studies,A.A.S.,Legal Assistant/Paralegal.
3,Media and Digital Film Production,A.A.S.,Radio and Television Broadcasting Technology/Technician.
3,Media and Digital Film Production,A.S.,Radio and Television Broadcasting Technology/Technician.
3,Nuclear Medicine Technology,A.A.S.,Medical Radiologic Technology/Science - Radiation Therapist.
3,Paralegal Studies,Cert. >= 30 Credits,Legal Assistant/Paralegal.
3,Horticulture,A.A.S.,Ornamental Horticulture.
3,Human Services,A.A.S.,"Human Services, General."
3,Digital Design,A.A.S.,Digital Arts.
3,Licensed Practical Nurse,Cert. >= 30 Credits,Licensed Practical/Vocational Nurse Training.
3,Computer Science,A.S.,Computer Science.
3,Radiologic Technology,A.A.S.,Medical Radiologic Technology/Science - Radiation Therapist.
4,School Counseling,M.S. in Ed.,Counselor Education/School Counseling and Guidance Services.
4,Economics,B.A.,"Economics, General."
4,School Counseling,Adv. Cert. Post Master's,Counselor Education/School Counseling and Guidance Services.
4,Business Administration,M.A.,"Business Administration and Management, General."
4,Business Administration,M.S.,"Business Administration and Management, General."
4,Puerto Rican and Latino Studies,B.A.,"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies."
4,Judaic Studies,B.A.,Jewish/Judaic Studies.
4,American Studies,B.A.,American/United States Studies/Civilization.
4,Biology Teacher (7-12),M.A.,Biology Teacher Education.
4,Biology,B.S.,"Biology/Biological Sciences, General."
4,Biology,B.A.,"Biology/Biological Sciences, General."
4,Biology,M.A.,"Biology/Biological Sciences, General."
4,Accounting,B.S.,Accounting.
4,Computer and Information Science,B.S.,"Computer and Information Sciences, General."
4,Elementary Education Teacher (1-6),B.A.,Elementary Education and Teaching.
4,Elementary Education Teacher (1-6),M.S. in Ed.,Elementary Education and Teaching.
4,Teacher of Special Education,M.S. in Ed.,"Special Education and Teaching, General."
4,School Psychologist,M.S. in Ed.,School Psychology.
4,School Administration and Supervision,Adv. Cert. Post Master's,"Educational Leadership and Administration, General."
4,Art Teacher (K-12),M.A.,Art Teacher Education.
4,Music Teacher (K-12),M.A.,Music Teacher Education.
4,Physical Education Teacher (K-12),B.S.,Physical Education Teaching and Coaching.
4,Physical Education,B.S.,"Health and Physical Education/Fitness, General."
4,Physical Education Teacher (K-12),M.S. in Ed.,Physical Education Teaching and Coaching.
4,Art,B.A.,"Fine/Studio Arts, General."
4,Art,M.F.A.,"Fine/Studio Arts, General."
4,Art History,M.A.,"Art History, Criticism and Conservation."
4,Performance,Mus.B,"Music Performance, General."
4,Music Composition and Theory,Mus.B,Music Theory and Composition.
4,Musicology,M.A.,Musicology and Ethnomusicology.
4,Music,B.A.,"Music, General."
4,Film,B.A.,Cinematography and Film/Video Production.
4,French,B.A.,French Language and Literature.
4,French,M.A.,French Language and Literature.
4,French Teacher (7-12),B.A.,French Language Teacher Education.
4,Italian,B.A.,Italian Language and Literature.
4,Spanish,B.A.,Spanish Language and Literature.
4,Spanish,M.A.,Spanish Language and Literature.
4,Russian,B.A.,Russian Language and Literature.
4,English,B.A.,"English Language and Literature, General."
4,English,M.A.,"English Language and Literature, General."
4,English Teacher (7-12),M.A.,English/Language Arts Teacher Education.
4,English Teacher (7-12),B.A.,English/Language Arts Teacher Education.
4,Comparative Literature,B.A.,Comparative Literature.
4,Classics,B.A.,"Classics and Classical Languages, Literatures, and Linguistics, General."
4,Linguistics,B.A.,Linguistics.
4,Creative Writing,M.F.A.,Creative Writing.
4,Philosophy,B.A.,Philosophy.
4,Mathematics Teacher (7-12),M.A.,Mathematics Teacher Education.
4,Mathematics Teacher (7-12),B.S.,Mathematics Teacher Education.
4,Mathematics Teacher (7-12),B.A.,Mathematics Teacher Education.
4,Mathematics,M.A.,"Mathematics, General."
4,Mathematics,B.A.,"Mathematics, General."
4,Mathematics,B.S.,"Mathematics, General."
4,Computational Mathematics,B.S.,"Mathematics, General."
4,Physics,M.A.,"Physics, General."
4,Physics,B.S.,"Physics, General."
4,Physics,B.A.,"Physics, General."
4,Chemistry,B.A.,"Chemistry, General."
4,Chemistry,M.A.,"Chemistry, General."
4,Chemistry,B.S.,"Chemistry, General."
4,Chemistry Teacher (7-12),B.A.,Chemistry Teacher Education.
4,Earth and Environmental Sciences,B.A.,"Geology/Earth Science, General."
4,Earth and Environmental Sciences,M.A.,"Geology/Earth Science, General."
4,Earth and Environmental Sciences,B.S.,"Geology/Earth Science, General."
4,Earth Science Teacher (7-12),B.A.,Earth Science Teacher Education.
4,Psychology,B.A.,"Psychology, General."
4,Psychology,B.S.,"Psychology, General."
4,Social Studies Teacher (7-12),M.A.,Social Studies Teacher Education.
4,Social Studies Teacher (7-12),B.A.,Social Studies Teacher Education.
4,Anthropology,B.A.,Anthropology.
4,Business Information Systems,B.S.,"Computer and Information Sciences,  Other."
4,Business Information Systems,M.P.S.,"Computer and Information Sciences,  Other."
4,History,B.A.,"History, General."
4,History,M.A.,"History, General."
4,Political Science,M.A.,"Political Science and Government, General."
4,Political Science,B.A.,"Political Science and Government, General."
4,Sociology,M.A.,Sociology.
4,Sociology,B.A.,Sociology.
4,Africana Studies,B.A.,African-American/Black Studies.
4,Women's Studies,B.A.,Women's Studies.
4,C.U.N.Y. Baccalaureate (B.A.),NG (Bacc.),Liberal Arts and Sciences/Liberal Studies.
4,Theatre,M.A.,"Drama and Dramatics/Theatre Arts, General."
4,Urban Sustainability,B.A.,Sustainability Studies.
4,Economics: Accounting - Track A (Place Holder),M.A.,Accounting.
4,Middle Childhood Education Specialist: Math,M.S. in Ed.,Mathematics Teacher Education.
4,Middle Childhood Education Specialist: Math (Alternative Transitional B Certification),M.S. in Ed.,Mathematics Teacher Education.
4,Early Childhood Education: Teaching Students with Disabilities,M.S. in Ed.,Education/Teaching of Individuals in Early Childhood Special Education Programs.
4,Childhood Education: Teaching Students with Disabilities,M.S. in Ed.,Education/Teaching of Individuals in Elementary Special Education Programs.
4,Childhood Education: Teaching Students with Disabilities (Alternative Transitional B Certification),M.S. in Ed.,Education/Teaching of Individuals in Elementary Special Education Programs.
4,"Mathematics Teacher, Grades 7-12 (Alternative Transitional B Certification)",M.A.,Mathematics Teacher Education.
4,"Mathematics Teacher, Grades 7-12",M.A.,Mathematics Teacher Education.
4,"Mathematics Teacher, Grades 7-12",B.A.,Mathematics Teacher Education.
4,"Early Childhood Education Teacher, Birth - Grade 2",M.S. in Ed.,Early Childhood Education and Teaching.
4,"Early Childhood Education Teacher, Birth - Grade 2",B.A.,Early Childhood Education and Teaching.
4,"Early Childhood Education Teacher, Birth - Grade 2 (Alternative Transitional B Certification)",M.S. in Ed.,Early Childhood Education and Teaching.
4,"Biology Teacher, Grades 7-12 (Alternative Transitional B Certification)",M.A.,Biology Teacher Education.
4,"Biology Teacher, Grades 7-12",M.A.,Biology Teacher Education.
4,Physical Education Teacher,M.S. in Ed.,Physical Education Teaching and Coaching.
4,Physical Education Teacher,B.S.,Physical Education Teaching and Coaching.
4,Physical Education Teacher (Alternative Transitional B Certification),M.S. in Ed.,Physical Education Teaching and Coaching.
4,"Art Teacher, All Grades (Alternative Transitional B Certification)",M.A.,Art Teacher Education.
4,"Art Teacher, All Grades",M.A.,Art Teacher Education.
4,Social Studies Teacher,M.A.,Social Studies Teacher Education.
4,Social Studies Teacher,B.A.,Social Studies Teacher Education.
4,Social Studies Teacher (Alternative Transitional B Certification),M.A.,Social Studies Teacher Education.
4,"Chemistry Teacher, Grades 7-12",M.A.,Chemistry Teacher Education.
4,"French Teacher, Grades 7-12",B.A.,French Language Teacher Education.
4,"French Teacher, Grades 7-12",M.A.,French Language Teacher Education.
4,"Spanish Teacher, Grades 7-12",M.A.,Spanish Language Teacher Education.
4,"Spanish Teacher, Grades 7-12",B.A.,Spanish Language Teacher Education.
4,"Italian Teacher, Grades 7-12",B.A.,Foreign Language Teacher Education.
4,"Physics Teacher, Grades 7-12",B.A.,Physics Teacher Education.
4,"English Teacher, Grades 7-12 (Alternative Transitional B Certification)",M.A.,English/Language Arts Teacher Education.
4,"English Teacher, Grades 7-12",M.A.,English/Language Arts Teacher Education.
4,"English Teacher, Grades 7-12",B.A.,English/Language Arts Teacher Education.
4,"Chemistry Teacher, Grades 7-12",B.A.,Chemistry Teacher Education.
4,"Biology Teacher, Grades 7-12",B.A.,Biology Teacher Education.
4,"Music Teacher, All Grades",Mus.B,Music Teacher Education.
4,"Music Teacher, All Grades",M.A.,Music Teacher Education.
4,"Music Teacher, All Grades",Adv. Cert. Post Master's,Music Teacher Education.
4,Middle Childhood Education 5-9 (Alternative Transitional B Certification),M.A.,Junior High/Intermediate/Middle School Education and Teaching.
4,Middle Childhood Education,M.A.,Junior High/Intermediate/Middle School Education and Teaching.
4,"Childhood Education Teacher, Grades 1-6 with Bilingual Extension",M.S. in Ed.,Elementary Education and Teaching.
4,"Childhood Education Teacher, Grades 1-6 (Alternative Transitional B Certification)",M.S. in Ed.,Elementary Education and Teaching.
4,"Childhood Education Teacher, Grades 1-6",M.S. in Ed.,Elementary Education and Teaching.
4,"Childhood Education Teacher, Grades 1-6 with Bilingual Extension",B.A.,Elementary Education and Teaching.
4,"Childhood Education Teacher, Grades 1-6",B.A.,Elementary Education and Teaching.
4,Health and Nutrition Sciences: Health Teacher (All Grades),M.S. in Ed.,Health Teacher Education.
4,Performance and Interactive Media Arts,Adv. Cert. Post Bacc.,"Visual and Performing Arts, General."
4,Early Childhood Education / Early Childhood Special Education,B.A.,Early Childhood Education and Teaching.
4,Grief Counselling,Adv. Cert. Post Bacc.,Mental Health Counseling/Counselor.
4,Business Administration,B.B.A.,"Business Administration and Management, General."
4,Mental Health Counseling,M.A.,Mental Health Counseling/Counselor.
4,Performance and Interactive Media Arts,M.F.A.,"Visual and Performing Arts, General."
4,"Teacher of Students With Disabilities, Secondary Education, Grades 7-12, Generalist",M.S. in Ed.,Education/Teaching of Individuals in Secondary Special Education Programs.
4,"Teacher of Students With Disabilities, Secondary Education, Grades 7-12 (Alternative Transitional B Certification)",M.S. in Ed.,Education/Teaching of Individuals in Secondary Special Education Programs.
4,Communication,B.A.,Speech Communication and Rhetoric.
4,Multimedia Computing,B.S.,"Web Page, Digital/Multimedia and Information Resources Design."
4,Autism Spectrum Disorder,Adv. Cert. Post Bacc.,Education/Teaching of Individuals with Autism.
4,Bilingual Education,Adv. Cert. Post Bacc.,Bilingual and Multilingual Education.
4,School District Leader,M.S. in Ed.,Superintendency and Educational System Administration.
4,Information Systems,B.S.,Information Science/Studies.
4,Exercise Science,B.S.,Kinesiology and Exercise Science.
4,"Adolescence Science Education, Grades 7-12",M.A.T.,Science Teacher Education/General Science Teacher Education.
4,"Earth Science Teacher, Grades 7-12",B.A.,Earth Science Teacher Education.
4,Parallel and Distributed Computing,Adv. Cert. Post Bacc.,"Computer Programming, Specific Applications."
4,Children and Youth Studies,B.A.,"Ethnic, Cultural Minority, Gender, and Group Studies, Other."
4,Educational Leadership - School Building and School District Leader,M.S. in Ed.,"Educational Leadership and Administration, General."
4,"Earth Science Teacher, Grades 7-12 (Alternative Transitional B Certification)",M.A.T.,Earth Science Teacher Education.
4,"Earth Science Teacher, Grades 7-12 (In-Service)",M.A.T.,Earth Science Teacher Education.
4,"Earth Science Teacher, Grades 7-12 (Pre-Service)",M.A.T.,Earth Science Teacher Education.
4,Actuarial Mathematics,B.S.,Computational and Applied Mathematics.
4,Financial Mathematics,B.S.,Financial Mathematics.
4,MHC-Actuarial Mathematics,B.S.,Computational and Applied Mathematics.
4,MHC-Financial Mathematics,B.S.,Financial Mathematics.
4,Chemistry,M.S.,"Chemistry, General."
4,"Public Accounting and Business, Management, and Finance",B.S.,Accounting.
4,Earth and Environmental Sciences,M.S.,"Geology/Earth Science, General."
4,Play Therapy,Adv. Cert. Post Master's,Clinical Child Psychology.
4,Museum Education,Adv. Cert. Post Bacc.,"Teacher Education and Professional Development, Specific Subject Areas, Other."
4,Screen Studies,M.A.,Film/Cinema/Video Studies.
4,Cinema Arts,M.F.A.,Film/Cinema/Video Studies.
4,Early Intervention and Parenting (Online Degree),Adv. Cert. Post Bacc.,"Special Education and Teaching, Other."
4,Music - Performance (30 credit),Adv. Dipl. Post Master's,"Music Performance, General."
4,Music - Performance (30 credit),Adv. Cert. Post Bacc.,"Music Performance, General."
4,Art Education,Adv. Cert. Post Master's,Art Teacher Education.
4,Finance,B.B.A.,"Finance, General."
4,MHC-Finance,B.B.A.,"Finance, General."
4,Sonic Arts,M.F.A.,Music Theory and Composition.
4,Media Scoring,M.F.A.,Music Theory and Composition.
4,Global and Contemporary Jazz,M.M.,Jazz/Jazz Studies.
4,MHC-Accounting,B.S.,Accounting.
4,MHC-American Studies,B.A.,American/United States Studies/Civilization.
4,MHC-Anthropology,B.A.,Anthropology.
4,MHC-Art,B.A.,"Fine/Studio Arts, General."
4,MHC-Art,B.F.A.,"Fine/Studio Arts, General."
4,MHC-Art History,B.A.,"Art History, Criticism and Conservation."
4,MHC-Biology,B.S.,"Biology/Biological Sciences, General."
4,MHC-Biology,B.A.,"Biology/Biological Sciences, General."
4,MHC-Broadcast Journalism,B.S.,Broadcast Journalism.
4,MHC-Business Administration,B.B.A.,"Business Administration and Management, General."
4,MHC-Business Management,B.S.,"Business Administration and Management, General."
4,MHC-Chemistry,B.A.,"Chemistry, General."
4,MHC-Chemistry,B.S.,"Chemistry, General."
4,MHC-Children and Youth Studies,B.A.,"Social Sciences, Other."
4,MHC-Communication,B.A.,"Communication, General."
4,MHC-Composition,Mus.B,Music Theory and Composition.
4,MHC-Computational Mathematics,B.S.,"Mathematics, General."
4,MHC-Computer Science,B.S.,Computer Science.
4,MHC-Creative Writing,B.F.A.,Creative Writing.
4,MHC-Economics,B.A.,"Economics, General."
4,MHC-English,B.A.,"English Language and Literature, General."
4,MHC-Urban Sustainability,B.A.,Environmental Studies.
4,MHC-Exercise Science,B.S.,Kinesiology and Exercise Science.
4,MHC-Film,B.A.,Cinematography and Film/Video Production.
4,MHC-French,B.A.,French Language and Literature.
4,MHC-Earth and Environmental Sciences,B.A.,"Geology/Earth Science, General."
4,MHC-Earth and Environmental Sciences,B.S.,"Geology/Earth Science, General."
4,MHC-Health and Nutrition Sciences,B.A.,"Dietetics and Clinical Nutrition Services, Other."
4,MHC-Health and Nutrition Sciences,B.S.,"Health Professions and Related Clinical Sciences, Other."
4,MHC-History,B.A.,"History, General."
4,MHC-Information Systems,B.S.,Information Science/Studies.
4,MHC-Journalism,B.A.,Journalism.
4,MHC-Judaic Studies,B.A.,Jewish/Judaic Studies.
4,MHC-Linguistics,B.A.,Linguistics.
4,MHC-Mathematics,B.A.,"Mathematics, General."
4,MHC-Mathematics,B.S.,"Mathematics, General."
4,MHC-Multimedia Computing,B.S.,"Web Page, Digital/Multimedia and Information Resources Design."
4,MHC-Music,B.A.,"Music, General."
4,MHC-Performance,Mus.B,"Music Performance, General."
4,MHC-Philosophy,B.A.,Philosophy.
4,MHC-Physics,B.S.,"Physics, General."
4,MHC-Physics,B.A.,"Physics, General."
4,MHC-Political Science,B.A.,"Political Science and Government, General."
4,MHC-Psychology,B.A.,"Psychology, General."
4,MHC-Psychology,B.S.,"Psychology, General."
4,MHC-Religion (Dual Major),B.A.,Religion/Religious Studies.
4,MHC-Sociology,B.A.,Sociology.
4,MHC-Spanish,B.A.,Spanish Language and Literature.
4,MHC-Communication Science & Disorders,B.A.,Audiology/Audiologist and Speech-Language Pathology/Pathologist.
4,MHC-Speech Communication and Speech,B.A.,Speech Communication and Rhetoric.
4,MHC-Television and Radio,B.A.,Radio and Television.
4,MHC-Theatre,B.F.A.,"Drama and Dramatics/Theatre Arts, General."
4,MHC-Women's and Gender Studies,B.A.,Women's Studies.
4,MHC-Internal Accounting,B.S.,Accounting.
4,"MHC-Childhood Education Teacher, Grades 1-6",B.A.,Elementary Education and Teaching.
4,MHC-Early Childhood Education / Early Childhood Special Education,B.A.,Early Childhood Education and Teaching.
4,"MHC-English Teacher, Grades 7-12",B.A.,English/Language Arts Teacher Education.
4,"MHC-Mathematics Teacher, Grades 7-12",B.A.,Mathematics Teacher Education.
4,"MHC-Music Teacher, All Grades",Mus.B,Music Teacher Education.
4,MHC-Social Studies Teacher,B.A.,Social Studies Teacher Education.
4,Theatre,B.A.,"Drama and Dramatics/Theatre Arts, General."
4,Theatre,M.F.A.,"Drama and Dramatics/Theatre Arts, General."
4,Television and Radio,B.A.,Radio and Television.
4,Computer Science,M.A.,Computer Science.
4,Media Studies,M.S.,Mass Communication/Media Studies.
4,Speech - Language Pathology,M.S.,Speech-Language Pathology/Pathologist.
4,Audiology,M.S.,Audiology/Audiologist.
4,Community Health,M.A.,"Public Health, General."
4,Judaic Studies,M.A.,Jewish/Judaic Studies.
4,School Psychologist,Adv. Cert. Post Master's,School Psychology.
4,Journalism,B.A.,Journalism.
